TX_LEG00: -243><-237><0><-150><0><Legs
Connection: TX_UH01,TX_UH02,8,36,43,5,1,3
Connection: TX_UH02,TX_UH03,4,5,92,24,3,1
Connection: TX_UH03,TX_UH04,7,24,44,9,1,0
Connection: TX_UH04,TX_UH05,3,9,146,54,2,0
Connection: TX_UH05,TX_HALL,142,104,4,19,0,2
Connection: TX_UH07,TX_UH08,141,27,3,9,1,2
Connection: TX_UH08,TX_UH09,44,9,7,24,0,1
Connection: TX_UH09,TX_UH10,92,24,3,9,1,2
Connection: TX_HALL,GATE_TX_TS,136,23,2,9,1,2
Connection: TX_LEG10,TX_LEG09,16,131,94,10,2,0
Connection: TX_LEG10,TX_LEG11,16,19,43,106,2,0
Connection: TX_LEG09,TX_UH11,5,42,150,11,2,0
Connection: TX_LEG09,TX_UH12,94,42,1,11,0,2
Connection: TX_W09,TX_W10,6,119,92,9,2,0
Connection: TX_W09,TX_W08,6,9,44,30,2,0
Connection: TX_M10,TX_M11,83,24,8,28,1,3
Connection: TX_M10,TX_M09,6,9,40,67,2,1
Connection: TX_M01,TX_LEG12,13,27,43,15,1,3
Connection: TX_M01,TX_M02,140,8,5,7,0,2
Connection: TX_R02,TX_R01,44,5,2,5,0,2
Connection: TX_W01,TX_M09,97,31,7,67,0,1
Connection: TX_W01,TX_W02,15,8,5,11,2,2
Connection: TX_M07,TX_M08,43,106,8,7,1,3
Connection: TX_M07,TX_M06,8,10,91,29,3,1
Connection: TX_M03,TX_M04,4,63,93,10,2,0
Connection: TX_M03,TX_M02,4,9,5,28,2,2
Connection: TX_W03,TX_W04,4,99,44,3,2,0
Connection: TX_W03,TX_W02,4,9,38,55,2,2
Connection: TX_M04,TX_M05,22,26,41,8,1,3
Connection: TX_M12,TX_M11,4,27,36,66,1,1
Connection: TX_M05,TX_M06,43,67,7,5,1,3
Connection: TX_UH10,TX_UH11,44,9,11,27,0,1
Connection: TX_M09,TX_M08,9,8,93,10,3,0
Connection: TX_R01,TX_W10,246,2,16,24,3,1
Connection: TX_W04,TX_W05,44,30,6,9,0,2
Connection: TX_LEG11,TX_LEG12,43,51,16,131,0,2
Connection: TX_W07,TX_W08,4,99,44,3,2,0
Connection: TX_W07,TX_W06,4,9,10,28,2,2
Connection: TX_W05,TX_W06,6,141,11,11,2,2
Connection: TX_LEG02,TX_D03,41,15,1,67,0,2
Connection: TX_D03,TX_D02,2,6,43,149,2,0
Connection: TX_D02,TX_S_LEG,4,19,29,17,2,0
